"Lag.Period","contrast","Variable","Level","N","Risk.in.Intervention.Arm","Risk.in.Control.Arm","Risk.Ratio..95..CI.","Risk.Difference..95..CI."
"3 Week Lag","Water","Total Weekly Precipitation","Below Median","1,933","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.18 (0.49, 2.85)","0.01 (-0.03, 0.05)"
"3 Week Lag","Water","Heavy Rain","Heavy Rain","1,401","0.05 (0.03, 0.07)","0.07 (0.05, 0.09)","0.78 (0.39, 1.55)","-0.01 (-0.05, 0.02)"
"3 Week Lag","Water","Heavy Rain","No Heavy Rain","3,855","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","0.95 (0.68, 1.33)","0.00 (-0.02, 0.01)"
"3 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"3 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"3 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,243","0.04 (0.02, 0.06)","0.07 (0.06, 0.09)","0.57 (0.36, 0.93)","-0.03 (-0.06, -0.01)"
"3 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,953","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.69 (0.45, 1.06)","-0.01 (-0.03, 0.00)"
"3 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","3,273","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.56 (0.35, 0.89)","-0.03 (-0.06, 0.00)"
"3 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","1,923","0.03 (0.01, 0.04)","0.03 (0.01, 0.04)","0.73 (0.39, 1.36)","-0.01 (-0.03, 0.01)"
"3 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,301","0.04 (0.02, 0.06)","0.07 (0.05, 0.09)","0.67 (0.40, 1.15)","-0.02 (-0.05, 0.01)"
"3 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,895","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.58 (0.39, 0.85)","-0.02 (-0.04, -0.01)"
"3 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"3 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,303","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.48 (0.32, 0.73)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","2,927","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.87 (0.59, 1.29)","-0.01 (-0.02, 0.01)"
"3 Week Lag","Handwashing","Total Weekly Precipitation","Above Median","3,260","0.03 (0.02, 0.04)","0.07 (0.05, 0.08)","0.49 (0.35, 0.69)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Handwashing","Total Weekly Precipitation","Below Median","1,970","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.99 (0.64, 1.53)","0.00 (-0.02, 0.02)"
"3 Week Lag","Handwashing","Heavy Rain","Heavy Rain","1,290","0.03 (0.01, 0.05)","0.07 (0.05, 0.09)","0.51 (0.27, 0.98)","-0.03 (-0.06, -0.01)"
"3 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,940","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.68 (0.47, 0.97)","-0.02 (-0.03, 0.00)"
